"統計名：","国民医療費"
"表番号：","17"
"表題：","国民医療費・人口一人当たり国民医療費，診療種類・都道府県別"
"実施年月：","-","-"
"市区町村時点（年月日）：","-"

"***","統計項目のあり得ない場合"
"-","計数のない場合"
"-0.0"," "
"…","計数不明又は計数を表章することが不適当な場合"

"","","","","/国民医療費・人口一人当たり国民医療費、診療種類 補助コード","-","-","-","-","-","-","-","-","-","-","-"
"時間軸（年度次） 補助コード","時間軸（年度次）","都道府県 補助コード","都道府県","/国民医療費・人口一人当たり国民医療費、診療種類","国民医療費_総数【億円】","国民医療費_医科診療医療費【億円】","国民医療費_医科診療医療費_入院【億円】","国民医療費_医科診療医療費_入院外【億円】","国民医療費_歯科診療医療費【億円】","国民医療費_薬局調剤医療費【億円】","国民医療費_入院時食事・生活医療費【億円】","国民医療費_訪問看護医療費【億円】","国民医療費_療養費等【億円】","人口一人当たり国民医療費【千円】","総人口【千人】"
"","2022年度","","栃木県","","6,616","4,867","2,334","2,533","430","1,123","96","43","58","346.6","1,909"
"","2022年度","","群馬県","","6,815","5,087","2,573","2,514","432","1,071","111","58","55","356.2","1,913"
"","2022年度","","埼玉県","","24,358","17,316","8,417","8,900","1,777","4,461","312","218","275","332.0","7,337"
"","2022年度","","千葉県","","20,936","14,922","7,404","7,518","1,603","3,773","276","166","196","334.1","6,266"
"","2022年度","","東京都","","48,224","34,148","15,956","18,192","3,647","8,720","572","521","618","343.5","14,038"
"","2022年度","","神奈川県","","31,244","21,659","10,372","11,287","2,494","6,061","361","315","353","338.4","9,232"
"","2022年度","","新潟県","","7,377","5,272","2,768","2,504","507","1,376","126","43","53","342.6","2,153"
"","2022年度","","富山県","","3,851","2,879","1,616","1,263","223","613","71","26","38","378.7","1,017"
"","2022年度","","石川県","","4,234","3,154","1,724","1,430","231","677","79","61","31","378.7","1,118"
"","2022年度","","福井県","","2,803","2,149","1,142","1,008","155","406","51","25","18","372.3","753"
"","2022年度","","山梨県","","2,973","2,156","1,119","1,037","189","530","50","19","29","370.7","802"
"","2022年度","","長野県","","7,315","5,291","2,783","2,508","463","1,335","112","47","67","362.1","2,020"
"","2022年度","","岐阜県","","7,163","5,167","2,475","2,692","541","1,199","96","90","70","368.1","1,946"
"","2022年度","","静岡県","","12,595","9,206","4,346","4,860","822","2,206","173","93","95","351.6","3,582"
"","2022年度","","愛知県","","26,093","18,761","8,499","10,262","2,149","4,209","314","399","261","348.1","7,495"
"","2022年度","","三重県","","6,350","4,641","2,293","2,348","415","1,091","96","62","45","364.5","1,742"
"","2022年度","","滋賀県","","4,773","3,438","1,792","1,646","318","871","69","36","41","338.8","1,409"
"","2022年度","","京都府","","10,027","7,404","3,916","3,488","647","1,573","153","105","144","393.2","2,550"
"","2022年度","","大阪府","","36,082","25,843","13,139","12,704","2,859","5,576","506","609","689","410.9","8,782"
"","2022年度","","兵庫県","","21,634","15,648","8,006","7,642","1,535","3,677","323","226","224","400.5","5,402"
"","2022年度","","奈良県","","5,123","3,891","1,923","1,968","347","704","75","56","49","392.2","1,306"
"","2022年度","","和歌山県","","3,822","2,846","1,471","1,376","226","573","64","56","56","423.2","903"
"","2022年度","","鳥取県","","2,082","1,542","879","664","127","347","38","19","9","382.7","544"
"","2022年度","","島根県","","2,718","1,995","1,130","865","151","493","52","18","9","413.1","658"
"","2022年度","","岡山県","","7,412","5,653","2,968","2,685","523","1,029","127","49","32","398.1","1,862"
"","2022年度","","広島県","","10,962","7,973","4,130","3,842","761","1,867","189","98","74","397.2","2,760"
"","2022年度","","山口県","","5,779","4,275","2,473","1,802","341","960","130","40","33","440.1","1,313"
"","2022年度","","徳島県","","3,157","2,386","1,310","1,075","199","449","68","28","27","448.4","704"
"","2022年度","","香川県","","3,946","2,861","1,471","1,390","266","686","68","38","27","422.5","934"
"","2022年度","","愛媛県","","5,370","4,034","2,141","1,894","314","826","102","56","38","411.2","1,306"
"","2022年度","","高知県","","3,238","2,455","1,546","909","159","496","83","26","19","478.9","676"
"","2022年度","","福岡県","","21,203","15,560","8,787","6,774","1,456","3,315","433","251","189","414.5","5,116"
"","2022年度","","佐賀県","","3,561","2,649","1,494","1,155","202","577","77","29","27","444.6","801"
"","2022年度","","長崎県","","5,749","4,248","2,526","1,722","337","941","133","34","55","448.1","1,283"
"","2022年度","","熊本県","","7,434","5,655","3,250","2,404","434","1,059","176","61","48","432.7","1,718"
"","2022年度","","大分県","","4,916","3,695","2,115","1,580","243","800","106","42","30","444.1","1,107"
"","2022年度","","宮崎県","","4,191","3,085","1,652","1,433","241","706","91","39","30","398.4","1,052"
"","2022年度","","鹿児島県","","7,136","5,477","3,221","2,256","359","1,014","178","52","55","456.5","1,563"
"","2022年度","","沖縄県","","5,106","3,844","2,203","1,641","289","787","100","58","28","347.8","1,468"
"","2021年度","","全国","","450,359","324,025","168,551","155,474","31,479","78,794","7,407","3,929","4,725","358.8","125,502"
"","2021年度","","北海道","","21,716","15,902","9,313","6,589","1,288","3,807","435","128","157","419.0","5,183"
"","2021年度","","青森県","","4,416","3,115","1,641","1,474","245","923","76","31","26","361.7","1,221"
"","2021年度","","岩手県","","4,193","2,930","1,572","1,358","268","860","79","30","26","350.6","1,196"
"","2021年度","","宮城県","","7,673","5,437","2,739","2,698","507","1,507","113","50","59","335.1","2,290"
"","2021年度","","秋田県","","3,685","2,566","1,453","1,113","225","786","69","13","25","390.0","945"
"","2021年度","","山形県","","3,864","2,780","1,477","1,304","248","718","69","24","25","366.3","1,055"
"","2021年度","","福島県","","6,238","4,462","2,285","2,178","396","1,198","103","27","52","344.2","1,812"
"","2021年度","","茨城県","","9,351","6,628","3,311","3,317","623","1,850","136","53","61","327.9","2,852"
"","2021年度","","栃木県","","6,421","4,707","2,290","2,417","421","1,097","97","38","61","334.3","1,921"
"","2021年度","","群馬県","","6,547","4,862","2,478","2,384","419","1,047","112","48","58","339.8","1,927"
"","2021年度","","埼玉県","","23,351","16,481","8,071","8,410","1,735","4,359","312","180","284","318.1","7,340"
"","2021年度","","千葉県","","20,116","14,263","7,197","7,066","1,554","3,687","278","132","202","320.6","6,275"
"","2021年度","","東京都","","46,155","32,423","15,360","17,063","3,546","8,533","578","449","627","329.4","14,010"
"","2021年度","","神奈川県","","29,956","20,591","9,979","10,612","2,423","5,956","364","266","356","324.3","9,236"
"","2021年度","","新潟県","","7,176","5,080","2,679","2,402","502","1,375","127","37","54","329.6","2,177"
"","2021年度","","富山県","","3,738","2,780","1,577","1,203","217","605","72","22","41","364.6","1,025"
"","2021年度","","石川県","","4,070","3,012","1,679","1,333","226","665","81","53","34","361.8","1,125"
"","2021年度","","福井県","","2,719","2,077","1,128","949","153","394","53","24","18","357.7","760"
"","2021年度","","山梨県","","2,863","2,051","1,074","977","188","527","51","17","31","355.7","805"
"","2021年度","","長野県","","7,081","5,081","2,737","2,345","452","1,323","115","40","70","348.3","2,033"
"","2021年度","","岐阜県","","6,906","4,950","2,428","2,522","530","1,180","98","75","74","352.2","1,961"
"","2021年度","","静岡県","","12,176","8,845","4,262","4,583","807","2,181","176","69","99","337.5","3,608"
"","2021年度","","愛知県","","24,901","17,805","8,225","9,580","2,079","4,096","316","341","263","331.3","7,517"
"","2021年度","","三重県","","6,091","4,427","2,218","2,209","405","1,063","97","54","45","346.9","1,756"
"","2021年度","","滋賀県","","4,539","3,233","1,712","1,521","308","855","69","33","42","321.7","1,411"
"","2021年度","","京都府","","9,627","7,056","3,740","3,315","627","1,556","154","88","147","375.9","2,561"
"","2021年度","","大阪府","","34,501","24,542","12,557","11,985","2,767","5,480","511","499","701","391.8","8,806"
"","2021年度","","兵庫県","","20,797","14,920","7,692","7,228","1,487","3,650","324","191","225","382.9","5,432"
"","2021年度","","奈良県","","4,912","3,705","1,840","1,865","336","696","76","48","51","373.5","1,315"
"","2021年度","","和歌山県","","3,713","2,752","1,439","1,313","222","563","66","51","59","406.2","914"
"","2021年度","","鳥取県","","2,044","1,509","869","639","123","347","39","17","9","372.3","549"
"","2021年度","","島根県","","2,669","1,947","1,120","827","149","493","54","17","10","401.4","665"
"","2021年度","","岡山県","","7,175","5,439","2,893","2,545","510","1,020","130","44","32","382.5","1,876"
"","2021年度","","広島県","","10,597","7,647","4,023","3,625","744","1,853","192","85","76","381.2","2,780"
"","2021年度","","山口県","","5,606","4,111","2,396","1,715","336","956","132","38","33","422.1","1,328"
"","2021年度","","徳島県","","3,084","2,326","1,299","1,028","194","441","70","26","28","433.2","712"
"","2021年度","","香川県","","3,842","2,781","1,456","1,325","262","672","69","32","27","407.9","942"
"","2021年度","","愛媛県","","5,250","3,905","2,106","1,800","310","842","104","49","40","397.5","1,321"
"","2021年度","","高知県","","3,224","2,423","1,545","878","158","514","87","21","20","471.3","684"
"","2021年度","","福岡県","","20,434","14,897","8,578","6,319","1,418","3,270","441","215","193","398.8","5,124"
"","2021年度","","佐賀県","","3,400","2,492","1,416","1,076","202","573","77","27","29","421.8","806"
"","2021年度","","長崎県","","5,623","4,117","2,482","1,635","336","947","137","30","57","433.5","1,297"
"","2021年度","","熊本県","","7,201","5,429","3,165","2,264","424","1,067","180","52","49","416.7","1,728"
"","2021年度","","大分県","","4,801","3,588","2,103","1,485","238","797","109","37","31","431.0","1,114"
"","2021年度","","宮崎県","","4,070","2,977","1,635","1,342","239","695","93","35","30","383.6","1,061"
"","2021年度","","鹿児島県","","6,940","5,294","3,171","2,123","355","1,003","182","47","58","440.4","1,576"
"","2021年度","","沖縄県","","4,905","3,680","2,144","1,536","278","770","101","46","30","334.1","1,468"
"","2020年度","","全国","","429,665","307,813","163,353","144,460","30,022","76,480","7,494","3,254","4,602","340.6","126,146"
"","2020年度","","北海道","","21,098","15,389","9,155","6,234","1,266","3,743","444","102","153","403.8","5,225"
"","2020年度","","青森県","","4,344","3,051","1,626","1,425","246","916","78","26","26","350.9","1,238"
"","2020年度","","岩手県","","4,083","2,833","1,527","1,306","266","856","79","24","26","337.2","1,211"
"","2020年度","","宮城県","","7,365","5,198","2,669","2,529","491","1,464","114","41","58","319.9","2,302"
"","2020年度","","秋田県","","3,631","2,515","1,435","1,080","225","785","70","10","25","378.2","960"
"","2020年度","","山形県","","3,725","2,665","1,434","1,230","238","709","69","19","25","348.8","1,068"
"","2020年度","","福島県","","6,108","4,347","2,282","2,066","387","1,194","106","22","51","333.2","1,833"
"","2020年度","","茨城県","","8,934","6,307","3,231","3,076","598","1,786","137","44","62","311.6","2,867"
"","2020年度","","栃木県","","6,132","4,467","2,199","2,268","405","1,069","98","32","61","317.2","1,933"
"","2020年度","","群馬県","","6,237","4,613","2,383","2,230","405","1,010","112","39","58","321.7","1,939"
"","2020年度","","埼玉県","","21,903","15,348","7,740","7,607","1,631","4,193","314","144","274","298.2","7,345"
"","2020年度","","千葉県","","18,835","13,256","6,832","6,424","1,460","3,545","277","105","193","299.7","6,284"
"","2020年度","","東京都","","42,972","29,851","14,537","15,314","3,313","8,245","580","379","605","305.9","14,048"
"","2020年度","","神奈川県","","27,925","19,024","9,427","9,596","2,260","5,724","365","214","339","302.3","9,237"
"","2020年度","","新潟県","","6,997","4,944","2,636","2,308","488","1,350","129","32","55","317.9","2,201"
"","2020年度","","富山県","","3,573","2,667","1,523","1,144","206","569","73","19","40","345.3","1,035"
"","2020年度","","石川県","","3,932","2,900","1,653","1,246","218","651","83","46","34","347.0","1,133"
