"統計名：","国民医療費"
"表番号：","17"
"表題：","国民医療費・人口一人当たり国民医療費，診療種類・都道府県別"
"実施年月：","-","-"
"市区町村時点（年月日）：","-"

"***","統計項目のあり得ない場合"
"-","計数のない場合"
"-0.0"," "
"…","計数不明又は計数を表章することが不適当な場合"

"","","","","/国民医療費・人口一人当たり国民医療費、診療種類 補助コード","-","-","-","-","-","-","-","-","-","-","-"
"時間軸（年度次） 補助コード","時間軸（年度次）","都道府県 補助コード","都道府県","/国民医療費・人口一人当たり国民医療費、診療種類","国民医療費_総数【億円】","国民医療費_医科診療医療費【億円】","国民医療費_医科診療医療費_入院【億円】","国民医療費_医科診療医療費_入院外【億円】","国民医療費_歯科診療医療費【億円】","国民医療費_薬局調剤医療費【億円】","国民医療費_入院時食事・生活医療費【億円】","国民医療費_訪問看護医療費【億円】","国民医療費_療養費等【億円】","人口一人当たり国民医療費【千円】","総人口【千人】"
"","2016年度","","福井県","","2,624","2,025","1,089","936","140","364","58","15","21","335.5","782"
"","2016年度","","山梨県","","2,730","1,920","1,008","912","168","547","53","10","32","328.9","830"
"","2016年度","","長野県","","6,710","4,808","2,578","2,230","409","1,274","118","23","77","321.4","2,088"
"","2016年度","","岐阜県","","6,581","4,725","2,287","2,439","472","1,155","108","31","89","325.5","2,022"
"","2016年度","","静岡県","","11,358","8,161","3,934","4,227","716","2,156","183","27","115","308.0","3,688"
"","2016年度","","愛知県","","22,466","16,104","7,519","8,585","1,788","3,803","330","137","305","299.3","7,507"
"","2016年度","","三重県","","5,756","4,215","2,093","2,123","378","982","105","26","50","318.4","1,808"
"","2016年度","","滋賀県","","4,227","3,043","1,644","1,399","268","779","76","18","43","299.2","1,413"
"","2016年度","","京都府","","8,939","6,602","3,503","3,099","565","1,403","167","39","162","343.1","2,605"
"","2016年度","","大阪府","","32,097","22,912","11,777","11,135","2,525","5,071","560","199","829","363.4","8,833"
"","2016年度","","兵庫県","","19,198","13,726","7,154","6,572","1,354","3,438","342","90","248","347.8","5,520"
"","2016年度","","奈良県","","4,619","3,479","1,741","1,738","305","669","81","25","61","340.7","1,356"
"","2016年度","","和歌山県","","3,572","2,679","1,343","1,336","211","520","70","26","66","374.5","954"
"","2016年度","","鳥取県","","1,985","1,459","839","619","116","350","43","7","9","348.2","570"
"","2016年度","","島根県","","2,590","1,903","1,089","814","137","471","58","11","11","375.4","690"
"","2016年度","","岡山県","","6,875","5,201","2,725","2,476","461","1,014","136","23","41","359.0","1,915"
"","2016年度","","広島県","","10,218","7,344","3,839","3,505","703","1,827","207","46","91","360.2","2,837"
"","2016年度","","山口県","","5,523","4,045","2,355","1,690","310","969","144","19","37","396.2","1,394"
"","2016年度","","徳島県","","2,959","2,237","1,222","1,015","183","419","75","14","32","394.6","750"
"","2016年度","","香川県","","3,644","2,644","1,388","1,256","239","644","74","12","32","374.9","972"
"","2016年度","","愛媛県","","5,157","3,915","2,079","1,836","282","775","117","28","40","375.0","1,375"
